,member_name,member_id,member_party,member_json
10,Sir Roger Gale,87,Conservative,"{'value': {'id': 87, 'nameListAs': 'Gale, Sir Roger', 'nameDisplayAs': 'Sir Roger Gale', 'nameFullTitle': 'Rt Hon Sir Roger Gale MP', 'nameAddressAs': 'Sir Roger', 'latestParty': {'id': 4, 'name': 'Conservative', 'abbreviation': 'Con', 'backgroundColour': '0000ff', 'foregroundColour': 'ffffff', 'isLordsMainParty': True, 'isLordsSpiritualParty': True, 'governmentType': 0, 'isIndependentParty': False}, 'gender': 'M', 'latestHouseMembership': {'membershipFrom': 'North Thanet', 'membershipFromId': 3651, 'house': 1, 'membershipStartDate': '1983-06-09T00:00:00', 'membershipEndDate': None, 'membershipEndReason': None, 'membershipEndReasonNotes': None, 'membershipEndReasonId': None, 'membershipStatus': {'statusIsActive': True, 'statusDescription': 'Current Member', 'statusNotes': None, 'statusId': 0, 'status': 0, 'statusStartDate': '2021-09-11T00:00:00'}}, 'thumbnailUrl': 'https://members-api.parliament.uk/api/Members/87/Thumbnail'}, 'links': [{'rel': 'self', 'href': '/Members/87', 'method': 'GET'}, {'rel': 'overview', 'href': '/Members/87', 'method': 'GET'}, {'rel': 'synopsis', 'href': '/Members/87/Synopsis', 'method': 'GET'}, {'rel': 'contactInformation', 'href': '/Members/87/Contact', 'method': 'GET'}]}"
11,Sir Paul Beresford,103,Conservative,"{'value': {'id': 103, 'nameListAs': 'Beresford, Sir Paul', 'nameDisplayAs': 'Sir Paul Beresford', 'nameFullTitle': 'Sir Paul Beresford MP', 'nameAddressAs': 'Sir Paul', 'latestParty': {'id': 4, 'name': 'Conservative', 'abbreviation': 'Con', 'backgroundColour': '0000ff', 'foregroundColour': 'ffffff', 'isLordsMainParty': True, 'isLordsSpiritualParty': True, 'governmentType': 0, 'isIndependentParty': False}, 'gender': 'M', 'latestHouseMembership': {'membershipFrom': 'Mole Valley', 'membershipFromId': 3615, 'house': 1, 'membershipStartDate': '1992-04-09T00:00:00', 'membershipEndDate': None, 'membershipEndReason': None, 'membershipEndReasonNotes': None, 'membershipEndReasonId': None, 'membershipStatus': {'statusIsActive': True, 'statusDescription': 'Current Member', 'statusNotes': None, 'statusId': 0, 'status': 0, 'statusStartDate': '2019-12-12T00:00:00'}}, 'thumbnailUrl': 'https://members-api.parliament.uk/api/Members/103/Thumbnail'}, 'links': [{'rel': 'self', 'href': '/Members/103', 'method': 'GET'}, {'rel': 'overview', 'href': '/Members/103', 'method': 'GET'}, {'rel': 'synopsis', 'href': '/Members/103/Synopsis', 'method': 'GET'}, {'rel': 'contactInformation', 'href': '/Members/103/Contact', 'method': 'GET'}]}"
12,Crispin Blunt,104,Conservative,"{'value': {'id': 104, 'nameListAs': 'Blunt, Crispin', 'nameDisplayAs': 'Crispin Blunt', 'nameFullTitle': 'Crispin Blunt MP', 'nameAddressAs': 'Mr Blunt', 'latestParty': {'id': 4, 'name': 'Conservative', 'abbreviation': 'Con', 'backgroundColour': '0000ff', 'foregroundColour': 'ffffff', 'isLordsMainParty': True, 'isLordsSpiritualParty': True, 'governmentType': 0, 'isIndependentParty': False}, 'gender': 'M', 'latestHouseMembership': {'membershipFrom': 'Reigate', 'membershipFromId': 3695, 'house': 1, 'membershipStartDate': '1997-05-01T00:00:00', 'membershipEndDate': None, 'membershipEndReason': None, 'membershipEndReasonNotes': None, 'membershipEndReasonId': None, 'membershipStatus': {'statusIsActive': True, 'statusDescription': 'Current Member', 'statusNotes': None, 'statusId': 0, 'status': 0, 'statusStartDate': '2019-12-12T00:00:00'}}, 'thumbnailUrl': 'https://members-api.parliament.uk/api/Members/104/Thumbnail'}, 'links': [{'rel': 'self', 'href': '/Members/104', 'method': 'GET'}, {'rel': 'overview', 'href': '/Members/104', 'method': 'GET'}, {'rel': 'synopsis', 'href': '/Members/104/Synopsis', 'method': 'GET'}, {'rel': 'contactInformation', 'href': '/Members/104/Contact', 'method': 'GET'}]}"
13,Nick Gibb,111,Conservative,"{'value': {'id': 111, 'nameListAs': 'Gibb, Nick', 'nameDisplayAs': 'Nick Gibb', 'nameFullTitle': 'Rt Hon Nick Gibb MP', 'nameAddressAs': 'Nick Gibb', 'latestParty': {'id': 4, 'name': 'Conservative', 'abbreviation': 'Con', 'backgroundColour': '0000ff', 'foregroundColour': 'ffffff', 'isLordsMainParty': True, 'isLordsSpiritualParty': True, 'governmentType': 0, 'isIndependentParty': False}, 'gender': 'M', 'latestHouseMembership': {'membershipFrom': 'Bognor Regis and Littlehampton', 'membershipFromId': 3342, 'house': 1, 'membershipStartDate': '1997-05-01T00:00:00', 'membershipEndDate': None, 'membershipEndReason': None, 'membershipEndReasonNotes': None, 'membershipEndReasonId': None, 'membershipStatus': {'statusIsActive': True, 'statusDescription': 'Current Member', 'statusNotes': None, 'statusId': 0, 'status': 0, 'statusStartDate': '2019-12-12T00:00:00'}}, 'thumbnailUrl': 'https://members-api.parliament.uk/api/Members/111/Thumbnail'}, 'links': [{'rel': 'self', 'href': '/Members/111', 'method': 'GET'}, {'rel': 'overview', 'href': '/Members/111', 'method': 'GET'}, {'rel': 'synopsis', 'href': '/Members/111/Synopsis', 'method': 'GET'}, {'rel': 'contactInformation', 'href': '/Members/111/Contact', 'method': 'GET'}]}"
14,Tim Loughton,114,Conservative,"{'value': {'id': 114, 'nameListAs': 'Loughton, Tim', 'nameDisplayAs': 'Tim Loughton', 'nameFullTitle': 'Tim Loughton MP', 'nameAddressAs': 'Tim Loughton', 'latestParty': {'id': 4, 'name': 'Conservative', 'abbreviation': 'Con', 'backgroundColour': '0000ff', 'foregroundColour': 'ffffff', 'isLordsMainParty': True, 'isLordsSpiritualParty': True, 'governmentType': 0, 'isIndependentParty': False}, 'gender': 'M', 'latestHouseMembership': {'membershipFrom': 'East Worthing and Shoreham', 'membershipFromId': 3465, 'house': 1, 'membershipStartDate': '1997-05-01T00:00:00', 'membershipEndDate': None, 'membershipEndReason': None, 'membershipEndReasonNotes': None, 'membershipEndReasonId': None, 'membershipStatus': {'statusIsActive': True, 'statusDescription': 'Current Member', 'statusNotes': None, 'statusId': 0, 'status': 0, 'statusStartDate': '2019-12-12T00:00:00'}}, 'thumbnailUrl': 'https://members-api.parliament.uk/api/Members/114/Thumbnail'}, 'links': [{'rel': 'self', 'href': '/Members/114', 'method': 'GET'}, {'rel': 'overview', 'href': '/Members/114', 'method': 'GET'}, {'rel': 'synopsis', 'href': '/Members/114/Synopsis', 'method': 'GET'}, {'rel': 'contactInformation', 'href': '/Members/114/Contact', 'method': 'GET'}]}"
15,Sir Peter Bottomley,117,Conservative,"{'value': {'id': 117, 'nameListAs': 'Bottomley, Sir Peter', 'nameDisplayAs': 'Sir Peter Bottomley', 'nameFullTitle': 'Sir Peter Bottomley MP', 'nameAddressAs': 'Sir Peter', 'latestParty': {'id': 4, 'name': 'Conservative', 'abbreviation': 'Con', 'backgroundColour': '0000ff', 'foregroundColour': 'ffffff', 'isLordsMainParty': True, 'isLordsSpiritualParty': True, 'governmentType': 0, 'isIndependentParty': False}, 'gender': 'M', 'latestHouseMembership': {'membershipFrom': 'Worthing West', 'membershipFromId': 3868, 'house': 1, 'membershipStartDate': '1975-06-26T00:00:00', 'membershipEndDate': None, 'membershipEndReason': None, 'membershipEndReasonNotes': None, 'membershipEndReasonId': None, 'membershipStatus': {'statusIsActive': True, 'statusDescription': 'Current Member', 'statusNotes': None, 'statusId': 0, 'status': 0, 'statusStartDate': '2019-12-12T00:00:00'}}, 'thumbnailUrl': 'https://members-api.parliament.uk/api/Members/117/Thumbnail'}, 'links': [{'rel': 'self', 'href': '/Members/117', 'method': 'GET'}, {'rel': 'overview', 'href': '/Members/117', 'method': 'GET'}, {'rel': 'synopsis', 'href': '/Members/117/Synopsis', 'method': 'GET'}, {'rel': 'contactInformation', 'href': '/Members/117/Contact', 'method': 'GET'}]}"
16,Dame Margaret Hodge,140,Labour,"{'value': {'id': 140, 'nameListAs': 'Hodge, Dame Margaret', 'nameDisplayAs': 'Dame Margaret Hodge', 'nameFullTitle': 'Rt Hon Dame Margaret Hodge MP', 'nameAddressAs': 'Dame Margaret Hodge', 'latestParty': {'id': 15, 'name': 'Labour', 'abbreviation': 'Lab', 'backgroundColour': 'ff0000', 'foregroundColour': 'ffffff', 'isLordsMainParty': True, 'isLordsSpiritualParty': False, 'governmentType': 3, 'isIndependentParty': False}, 'gender': 'F', 'latestHouseMembership': {'membershipFrom': 'Barking', 'membershipFromId': 3301, 'house': 1, 'membershipStartDate': '1994-06-09T00:00:00', 'membershipEndDate': None, 'membershipEndReason': None, 'membershipEndReasonNotes': None, 'membershipEndReasonId': None, 'membershipStatus': {'statusIsActive': True, 'statusDescription': 'Current Member', 'statusNotes': None, 'statusId': 0, 'status': 0, 'statusStartDate': '2019-12-12T00:00:00'}}, 'thumbnailUrl': 'https://members-api.parliament.uk/api/Members/140/Thumbnail'}, 'links': [{'rel': 'self', 'href': '/Members/140', 'method': 'GET'}, {'rel': 'overview', 'href': '/Members/140', 'method': 'GET'}, {'rel': 'synopsis', 'href': '/Members/140/Synopsis', 'method': 'GET'}, {'rel': 'contactInformation', 'href': '/Members/140/Contact', 'method': 'GET'}]}"
17,Barry Gardiner,146,Labour,"{'value': {'id': 146, 'nameListAs': 'Gardiner, Barry', 'nameDisplayAs': 'Barry Gardiner', 'nameFullTitle': 'Barry Gardiner MP', 'nameAddressAs': 'Barry Gardiner', 'latestParty': {'id': 15, 'name': 'Labour', 'abbreviation': 'Lab', 'backgroundColour': 'ff0000', 'foregroundColour': 'ffffff', 'isLordsMainParty': True, 'isLordsSpiritualParty': False, 'governmentType': 3, 'isIndependentParty': False}, 'gender': 'M', 'latestHouseMembership': {'membershipFrom': 'Brent North', 'membershipFromId': 3359, 'house': 1, 'membershipStartDate': '1997-05-01T00:00:00', 'membershipEndDate': None, 'membershipEndReason': None, 'membershipEndReasonNotes': None, 'membershipEndReasonId': None, 'membershipStatus': {'statusIsActive': True, 'statusDescription': 'Current Member', 'statusNotes': None, 'statusId': 0, 'status': 0, 'statusStartDate': '2019-12-12T00:00:00'}}, 'thumbnailUrl': 'https://members-api.parliament.uk/api/Members/146/Thumbnail'}, 'links': [{'rel': 'self', 'href': '/Members/146', 'method': 'GET'}, {'rel': 'overview', 'href': '/Members/146', 'method': 'GET'}, {'rel': 'synopsis', 'href': '/Members/146/Synopsis', 'method': 'GET'}, {'rel': 'contactInformation', 'href': '/Members/146/Contact', 'method': 'GET'}]}"
18,Ms Harriet Harman,150,Labour,"{'value': {'id': 150, 'nameListAs': 'Harman, Ms Harriet', 'nameDisplayAs': 'Ms Harriet Harman', 'nameFullTitle': 'Rt Hon Harriet Harman KC MP', 'nameAddressAs': 'Ms Harman', 'latestParty': {'id': 15, 'name': 'Labour', 'abbreviation': 'Lab', 'backgroundColour': 'ff0000', 'foregroundColour': 'ffffff', 'isLordsMainParty': True, 'isLordsSpiritualParty': False, 'governmentType': 3, 'isIndependentParty': False}, 'gender': 'F', 'latestHouseMembership': {'membershipFrom': 'Camberwell and Peckham', 'membershipFromId': 3384, 'house': 1, 'membershipStartDate': '1982-10-28T00:00:00', 'membershipEndDate': None, 'membershipEndReason': None, 'membershipEndReasonNotes': None, 'membershipEndReasonId': None, 'membershipStatus': {'statusIsActive': True, 'statusDescription': 'Current Member', 'statusNotes': None, 'statusId': 0, 'status': 0, 'statusStartDate': '2019-12-12T00:00:00'}}, 'thumbnailUrl': 'https://members-api.parliament.uk/api/Members/150/Thumbnail'}, 'links': [{'rel': 'self', 'href': '/Members/150', 'method': 'GET'}, {'rel': 'overview', 'href': '/Members/150', 'method': 'GET'}, {'rel': 'synopsis', 'href': '/Members/150/Synopsis', 'method': 'GET'}, {'rel': 'contactInformation', 'href': '/Members/150/Contact', 'method': 'GET'}]}"
19,Sir Iain Duncan Smith,152,Conservative,"{'value': {'id': 152, 'nameListAs': 'Duncan Smith, Sir Iain', 'nameDisplayAs': 'Sir Iain Duncan Smith', 'nameFullTitle': 'Rt Hon Sir Iain Duncan Smith MP', 'nameAddressAs': 'Sir Iain Duncan Smith', 'latestParty': {'id': 4, 'name': 'Conservative', 'abbreviation': 'Con', 'backgroundColour': '0000ff', 'foregroundColour': 'ffffff', 'isLordsMainParty': True, 'isLordsSpiritualParty': True, 'governmentType': 0, 'isIndependentParty': False}, 'gender': 'M', 'latestHouseMembership': {'membershipFrom': 'Chingford and Woodford Green', 'membershipFromId': 3410, 'house': 1, 'membershipStartDate': '1992-04-09T00:00:00', 'membershipEndDate': None, 'membershipEndReason': None, 'membershipEndReasonNotes': None, 'membershipEndReasonId': None, 'membershipStatus': {'statusIsActive': True, 'statusDescription': 'Current Member', 'statusNotes': None, 'statusId': 0, 'status': 0, 'statusStartDate': '2019-12-12T00:00:00'}}, 'thumbnailUrl': 'https://members-api.parliament.uk/api/Members/152/Thumbnail'}, 'links': [{'rel': 'self', 'href': '/Members/152', 'method': 'GET'}, {'rel': 'overview', 'href': '/Members/152', 'method': 'GET'}, {'rel': 'synopsis', 'href': '/Members/152/Synopsis', 'method': 'GET'}, {'rel': 'contactInformation', 'href': '/Members/152/Contact', 'method': 'GET'}]}"
20,Geraint Davies,155,Independent,"{'value': {'id': 155, 'nameListAs': 'Davies, Geraint', 'nameDisplayAs': 'Geraint Davies', 'nameFullTitle': 'Geraint Davies MP', 'nameAddressAs': 'Geraint Davies', 'latestParty': {'id': 8, 'name': 'Independent', 'abbreviation': 'Ind', 'backgroundColour': 'C0C0C0', 'foregroundColour': 'FFFFFF', 'isLordsMainParty': False, 'isLordsSpiritualParty': False, 'governmentType': None, 'isIndependentParty': True}, 'gender': 'M', 'latestHouseMembership': {'membershipFrom': 'Swansea West', 'membershipFromId': 3793, 'house': 1, 'membershipStartDate': '2010-05-06T00:00:00', 'membershipEndDate': None, 'membershipEndReason': None, 'membershipEndReasonNotes': None, 'membershipEndReasonId': None, 'membershipStatus': {'statusIsActive': True, 'statusDescription': 'Current Member', 'statusNotes': None, 'statusId': 0, 'status': 0, 'statusStartDate': '2019-12-12T00:00:00'}}, 'thumbnailUrl': 'https://members-api.parliament.uk/api/Members/155/Thumbnail'}, 'links': [{'rel': 'self', 'href': '/Members/155', 'method': 'GET'}, {'rel': 'overview', 'href': '/Members/155', 'method': 'GET'}, {'rel': 'synopsis', 'href': '/Members/155/Synopsis', 'method': 'GET'}, {'rel': 'contactInformation', 'href': '/Members/155/Contact', 'method': 'GET'}]}"
