,member_id,display_name,list_name,full_title,address as,constituency,member_party,gender
46,350,Sir John Hayes,"Hayes, Sir John",Rt Hon Sir John Hayes MP,,South Holland and The Deepings,Conservative,M
47,373,Mr David Davis,"Davis, Mr David",Rt Hon David Davis MP,Mr Davis,Haltemprice and Howden,Conservative,M
48,390,Dame Rosie Winterton,"Winterton, Dame Rosie",Rt Hon Dame Rosie Winterton MP,Dame Rosie Winterton,Doncaster Central,Labour,F
49,394,Mr Clive Betts,"Betts, Mr Clive",Mr Clive Betts MP,Mr Betts,Sheffield South East,Labour,M
50,400,John Healey,"Healey, John",Rt Hon John Healey MP,John Healey,Wentworth and Dearne,Labour,M
51,410,Jon Trickett,"Trickett, Jon",Jon Trickett MP,Jon Trickett,Hemsworth,Labour,M
52,411,Mr Barry Sheerman,"Sheerman, Mr Barry",Mr Barry Sheerman MP,Mr Barry Sheerman,Huddersfield,Labour (Co-op),M
53,413,Hilary Benn,"Benn, Hilary",Rt Hon Hilary Benn MP,Hilary Benn,Leeds Central,Labour,M
54,415,Fabian Hamilton,"Hamilton, Fabian",Fabian Hamilton MP,Fabian Hamilton,Leeds North East,Labour,M
55,420,Yvette Cooper,"Cooper, Yvette",Rt Hon Yvette Cooper MP,Yvette Cooper,"Normanton, Pontefract and Castleford",Labour,F
56,429,Derek Twigg,"Twigg, Derek",Derek Twigg MP,Derek Twigg,Halton,Labour,M
57,435,Sir Graham Brady,"Brady, Sir Graham",Sir Graham Brady MP,Sir Graham,Altrincham and Sale West,Conservative,M
58,449,Graham Stringer,"Stringer, Graham",Graham Stringer MP,Graham Stringer,Blackley and Broughton,Labour,M
59,450,Tony Lloyd,"Lloyd, Tony",Tony Lloyd MP,Tony Lloyd,Rochdale,Labour,M
60,467,Sir Lindsay Hoyle,"Hoyle, Sir Lindsay",Rt Hon Sir Lindsay Hoyle MP,Sir Lindsay,Chorley,Speaker,M
61,473,Sir Mark Hendrick,"Hendrick, Sir Mark",Sir Mark Hendrick MP,Sir Mark,Preston,Labour (Co-op),M
62,474,Mr Nigel Evans,"Evans, Mr Nigel",Rt Hon Nigel Evans MP,Mr Evans,Ribble Valley,Conservative,M
63,481,Sir George Howarth,"Howarth, Sir George",Rt Hon Sir George Howarth MP,Sir George Howarth,Knowsley,Labour,M
64,483,Maria Eagle,"Eagle, Maria",Rt Hon Maria Eagle MP,Maria Eagle,Garston and Halewood,Labour,F
65,491,Dame Angela Eagle,"Eagle, Dame Angela",Dame Angela Eagle MP,Dame Angela,Wallasey,Labour,F
66,523,Mr Nicholas Brown,"Brown, Mr Nicholas",Rt Hon Nicholas Brown MP,Mr Brown,Newcastle upon Tyne East,Independent,M
67,529,Sir Alan Campbell,"Campbell, Sir Alan",Rt Hon Sir Alan Campbell MP,Sir Alan Campbell,Tynemouth,Labour,M
68,650,Sir Jeffrey M Donaldson,"Donaldson, Sir Jeffrey M",Rt Hon Sir Jeffrey M Donaldson MP,Sir Jeffrey,Lagan Valley,Democratic Unionist Party,M
69,1171,Liam Byrne,"Byrne, Liam",Rt Hon Liam Byrne MP,Rt Hon. Liam Byrne,"Birmingham, Hodge Hill",Labour,M
70,1198,Sir David Evennett,"Evennett, Sir David",Rt Hon Sir David Evennett MP,Sir David Evennett,Bexleyheath and Crayford,Conservative,M
71,1200,Sir Greg Knight,"Knight, Sir Greg",Rt Hon Sir Greg Knight MP,Sir Greg,East Yorkshire,Conservative,M
72,1211,Mr Andrew Mitchell,"Mitchell, Mr Andrew",Rt Hon Andrew Mitchell MP,Mr Mitchell,Sutton Coldfield,Conservative,M
73,1383,Mark Tami,"Tami, Mark",Rt Hon Mark Tami MP,Mark Tami,Alyn and Deeside,Labour,M
74,1390,Mr John Baron,"Baron, Mr John",Mr John Baron MP,Mr Baron,Basildon and Billericay,Conservative,M
75,1392,Mr Khalid Mahmood,"Mahmood, Mr Khalid",Mr Khalid Mahmood MP,Mr Mahmood,"Birmingham, Perry Barr",Labour,M
76,1396,Mr Ian Liddell-Grainger,"Liddell-Grainger, Mr Ian",Mr Ian Liddell-Grainger MP,Mr Liddell-Grainger,Bridgwater and West Somerset,Conservative,M
77,1397,Hywel Williams,"Williams, Hywel",Hywel Williams MP,Hywel Williams,Arfon,Plaid Cymru,M
78,1398,Wayne David,"David, Wayne",Wayne David MP,Wayne David,Caerphilly,Labour,M
79,1400,Kevin Brennan,"Brennan, Kevin",Kevin Brennan MP,Kevin Brennan,Cardiff West,Labour,M
80,1406,Jon Cruddas,"Cruddas, Jon",Jon Cruddas MP,Jon Cruddas,Dagenham and Rainham,Labour,M
81,1409,Mr Gregory Campbell,"Campbell, Mr Gregory",Mr Gregory Campbell MP,Mr Campbell,East Londonderry,Democratic Unionist Party,M
82,1413,Chris Grayling,"Grayling, Chris",Rt Hon Chris Grayling MP,Chris Grayling,Epsom and Ewell,Conservative,M
83,1416,Michelle Gildernew,"Gildernew, Michelle",Michelle Gildernew MP,Michelle Gildernew,Fermanagh and South Tyrone,Sinn Féin,F
84,1425,Mr Jonathan Djanogly,"Djanogly, Mr Jonathan",Mr Jonathan Djanogly MP,Mr Djanogly,Huntingdon,Conservative,M
85,1428,Sir Bill Wiggin,"Wiggin, Sir Bill",Sir Bill Wiggin MP,Sir Bill Wiggin,North Herefordshire,Conservative,M
86,1438,Mr Kevan Jones,"Jones, Mr Kevan",Rt Hon Kevan Jones MP,Mr Jones,North Durham,Labour,M
87,1440,Pete Wishart,"Wishart, Pete",Pete Wishart MP,Pete Wishart,Perth and North Perthshire,Scottish National Party,M
88,1442,Mr Alistair Carmichael,"Carmichael, Mr Alistair",Rt Hon Alistair Carmichael MP,Mr Carmichael,Orkney and Shetland,Liberal Democrat,M
89,1444,Mr Mark Francois,"Francois, Mr Mark",Rt Hon Mark Francois MP,Mr Francois,Rayleigh and Wickford,Conservative,M
90,1446,Sir Chris Bryant,"Bryant, Sir Chris",Sir Chris Bryant MP,Sir Chris Bryant,Rhondda,Labour,M
91,1447,Andrew Rosindell,"Rosindell, Andrew",Andrew Rosindell MP,Andrew Rosindell,Romford,Conservative,M
92,1451,Mr Richard Bacon,"Bacon, Mr Richard",Mr Richard Bacon MP,Mr Bacon,South Norfolk,Conservative,M
93,1453,Andrew Selous,"Selous, Andrew",Andrew Selous MP,Andrew Selous,South West Bedfordshire,Conservative,M
94,1466,Dr Andrew Murrison,"Murrison, Dr Andrew",Rt Hon Dr Andrew Murrison MP,Dr Murrison,South West Wiltshire,Conservative,M
95,1480,Dame Maria Miller,"Miller, Dame Maria",Rt Hon Dame Maria Miller MP,Dame Maria Miller,Basingstoke,Conservative,F
96,1481,Ms Nadine Dorries,"Dorries, Ms Nadine",Rt Hon Nadine Dorries MP,,Mid Bedfordshire,Conservative,F
97,1482,Graham Stuart,"Stuart, Graham",Rt Hon Graham Stuart MP,Graham Stuart,Beverley and Holderness,Conservative,M
98,1487,Mr Tobias Ellwood,"Ellwood, Mr Tobias",Rt Hon Tobias Ellwood MP,Mr Ellwood,Bournemouth East,Conservative,M
99,1489,Dawn Butler,"Butler, Dawn",Dawn Butler MP,Dawn Butler,Brent Central,Labour,F
100,1491,Kerry McCarthy,"McCarthy, Kerry",Kerry McCarthy MP,Kerry McCarthy,Bristol East,Labour,F
101,1493,Sir Charles Walker,"Walker, Sir Charles",Sir Charles Walker MP,Sir Charles Walker,Broxbourne,Conservative,M
102,1496,Shailesh Vara,"Vara, Shailesh",Rt Hon Shailesh Vara MP,Shailesh Vara,North West Cambridgeshire,Conservative,M
103,1500,Theresa Villiers,"Villiers, Theresa",Rt Hon Theresa Villiers MP,,Chipping Barnet,Conservative,F
104,1502,Mr David Jones,"Jones, Mr David",Rt Hon David Jones MP,Mr Jones,Clwyd West,Conservative,M
105,1506,Andrew Gwynne,"Gwynne, Andrew",Andrew Gwynne MP,Andrew Gwynne,Denton and Reddish,Labour,M
106,1508,Sir Geoffrey Cox,"Cox, Sir Geoffrey",Rt Hon Sir Geoffrey Cox KC MP,Sir Geoffrey,Torridge and West Devon,Conservative,M
107,1510,Edward Miliband,"Miliband, Edward",Rt Hon Edward Miliband MP,Edward Miliband,Doncaster North,Labour,M
108,1512,David Mundell,"Mundell, David",Rt Hon David Mundell MP,David Mundell,"Dumfriesshire, Clydesdale and Tweeddale",Conservative,M
109,1514,Stewart Hosie,"Hosie, Stewart",Rt Hon Stewart Hosie MP,Stewart Hosie,Dundee East,Scottish National Party,M
110,1516,Andy Slaughter,"Slaughter, Andy",Andy Slaughter MP,Andy Slaughter,Hammersmith,Labour,M
111,1520,Mr Mark Harper,"Harper, Mr Mark",Rt Hon Mark Harper MP,Mr Harper,Forest of Dean,Conservative,M
112,1521,Mrs Sharon Hodgson,"Hodgson, Mrs Sharon",Mrs Sharon Hodgson MP,Mrs Hodgson,Washington and Sunderland West,Labour,F
113,1522,Adam Holloway,"Holloway, Adam",Adam Holloway MP,Adam Holloway,Gravesham,Conservative,M
114,1524,Dame Meg Hillier,"Hillier, Dame Meg",Dame Meg Hillier MP,Dame Meg Hillier,Hackney South and Shoreditch,Labour (Co-op),F
115,1526,Greg Hands,"Hands, Greg",Rt Hon Greg Hands MP,Greg Hands,Chelsea and Fulham,Conservative,M
116,1528,Sir Mike Penning,"Penning, Sir Mike",Rt Hon Sir Mike Penning MP,Sir Mike Penning,Hemel Hempstead,Conservative,M
117,1533,Dame Diana Johnson,"Johnson, Dame Diana",Rt Hon Dame Diana Johnson MP,Dame Diana Johnson,Kingston upon Hull North,Labour,F
118,1536,Emily Thornberry,"Thornberry, Emily",Rt Hon Emily Thornberry MP,Emily Thornberry,Islington South and Finsbury,Labour,F
119,1537,Mr Philip Hollobone,"Hollobone, Mr Philip",Mr Philip Hollobone MP,Mr Hollobone,Kettering,Conservative,M
120,1539,Mr Ben Wallace,"Wallace, Mr Ben",Rt Hon Ben Wallace MP,Mr Wallace,Wyre and Preston North,Conservative,M
121,1541,Dame Nia Griffith,"Griffith, Dame Nia",Dame Nia Griffith MP,,Llanelli,Labour,F
122,1542,Philip Dunne,"Dunne, Philip",Rt Hon Philip Dunne MP,Mr Dunne,Ludlow,Conservative,M
123,1545,David T C Davies,"Davies, David T C",Rt Hon David T C Davies MP,David T C Davies,Monmouth,Conservative,M
124,1546,Angus Brendan MacNeil,"MacNeil, Angus Brendan",Angus Brendan MacNeil MP,Angus Brendan MacNeil,Na h-Eileanan an Iar,Independent,M
125,1548,Jessica Morden,"Morden, Jessica",Jessica Morden MP,Jessica Morden,Newport East,Labour,F
126,1554,Stephen Crabb,"Crabb, Stephen",Rt Hon Stephen Crabb MP,Stephen Crabb,Preseli Pembrokeshire,Conservative,M
127,1559,Sir James Duddridge,"Duddridge, Sir James",Sir James Duddridge MP,Sir James Duddridge,Rochford and Southend East,Conservative,M
128,1560,Sir Jeremy Wright,"Wright, Sir Jeremy",Rt Hon Sir Jeremy Wright KC MP,Sir Jeremy Wright,Kenilworth and Southam,Conservative,M
129,1562,Sir Robert Goodwill,"Goodwill, Sir Robert",Sir Robert Goodwill MP,Sir Robert Goodwill,Scarborough and Whitby,Conservative,M
130,1565,Philip Davies,"Davies, Philip",Philip Davies MP,Philip Davies,Shipley,Conservative,M
131,1566,Daniel Kawczynski,"Kawczynski, Daniel",Daniel Kawczynski MP,Daniel Kawczynski,Shrewsbury and Atcham,Conservative,M
132,1571,Michael Gove,"Gove, Michael",Rt Hon Michael Gove MP,Michael Gove,Surrey Heath,Conservative,M
133,1572,Jeremy Hunt,"Hunt, Jeremy",Rt Hon Jeremy Hunt MP,,South West Surrey,Conservative,M
134,1576,Mark Pritchard,"Pritchard, Mark",Rt Hon Mark Pritchard MP,Mark Pritchard,The Wrekin,Conservative,M
135,1578,Greg Clark,"Clark, Greg",Rt Hon Greg Clark MP,Greg Clark,Tunbridge Wells,Conservative,M
136,1581,Mr Peter Bone,"Bone, Mr Peter",Mr Peter Bone MP,Mr Bone,Wellingborough,Conservative,M
137,1582,Grant Shapps,"Shapps, Grant",Rt Hon Grant Shapps MP,Grant Shapps,Welwyn Hatfield,Conservative,M
138,1583,Ms Lyn Brown,"Brown, Ms Lyn",Ms Lyn Brown MP,,West Ham,Labour,F
139,1584,John Penrose,"Penrose, John",John Penrose MP,John Penrose,Weston-super-Mare,Conservative,M
140,1585,Stephen Hammond,"Hammond, Stephen",Stephen Hammond MP,Stephen Hammond,Wimbledon,Conservative,M
141,1586,Adam Afriyie,"Afriyie, Adam",Adam Afriyie MP,Adam Afriyie,Windsor,Conservative,M
142,1587,Pat McFadden,"McFadden, Pat",Rt Hon Pat McFadden MP,,Wolverhampton South East,Labour,M
143,1588,Barbara Keeley,"Keeley, Barbara",Barbara Keeley MP,Barbara Keeley,Worsley and Eccles South,Labour,F
144,1591,Tim Farron,"Farron, Tim",Tim Farron MP,Tim Farron,Westmorland and Lonsdale,Liberal Democrat,M
145,1593,Sammy Wilson,"Wilson, Sammy",Rt Hon Sammy Wilson MP,Sammy Wilson,East Antrim,Democratic Unionist Party,M
146,1601,Sir Robert Neill,"Neill, Sir Robert",Sir Robert Neill MP,Robert Neill,Bromley and Chislehurst,Conservative,M
147,1604,Mr Virendra Sharma,"Sharma, Mr Virendra",Mr Virendra Sharma MP,Mr Sharma,"Ealing, Southall",Labour,M
148,1605,Edward Timpson,"Timpson, Edward",Edward Timpson KC MP,Edward Timpson,Eddisbury,Conservative,M
149,1606,John Howell,"Howell, John",John Howell MP,John Howell,Henley,Conservative,M
150,1609,Chloe Smith,"Smith, Chloe",Rt Hon Chloe Smith MP,Chloe Smith,Norwich North,Conservative,F
151,3912,Richard Fuller,"Fuller, Richard",Richard Fuller MP,,North East Bedfordshire,Conservative,M
152,3914,Shabana Mahmood,"Mahmood, Shabana",Shabana Mahmood MP,Shabana Mahmood,"Birmingham, Ladywood",Labour,F
153,3919,Bob Stewart,"Stewart, Bob",Rt Hon Bob Stewart MP,Bob Stewart,Beckenham,Conservative,M
154,3922,Sir Conor Burns,"Burns, Sir Conor",Rt Hon Sir Conor Burns MP,Sir Conor Burns,Bournemouth West,Conservative,M
155,3924,Yasmin Qureshi,"Qureshi, Yasmin",Yasmin Qureshi MP,Yasmin Qureshi,Bolton South East,Labour,F
156,3926,Paul Maynard,"Maynard, Paul",Paul Maynard MP,Paul Maynard,Blackpool North and Cleveleys,Conservative,M
157,3928,Nick Smith,"Smith, Nick",Nick Smith MP,Nick Smith,Blaenau Gwent,Labour,M
158,3930,Caroline Lucas,"Lucas, Caroline",Caroline Lucas MP,Caroline Lucas,"Brighton, Pavilion",Green Party,F
159,3932,Dr Dan Poulter,"Poulter, Dr Dan",Dr Dan Poulter MP,Dr Dan Poulter,Central Suffolk and North Ipswich,Conservative,M
160,3934,George Eustice,"Eustice, George",Rt Hon George Eustice MP,George Eustice,Camborne and Redruth,Conservative,M
161,3935,Mel Stride,"Stride, Mel",Rt Hon Mel Stride MP,Mel Stride,Central Devon,Conservative,M
162,3939,Andrew Percy,"Percy, Andrew",Andrew Percy MP,Andrew Percy,Brigg and Goole,Conservative,M
163,3940,Craig Whittaker,"Whittaker, Craig",Rt Hon Craig Whittaker MP,Craig Whittaker,Calder Valley,Conservative,M
164,3942,John Stevenson,"Stevenson, John",John Stevenson MP,John Stevenson,Carlisle,Conservative,M
165,3943,Jonathan Edwards,"Edwards, Jonathan",Jonathan Edwards MP,Jonathan Edwards,Carmarthen East and Dinefwr,Independent,M
166,3944,Simon Hart,"Hart, Simon",Simon Hart MP,Simon Hart,Carmarthen West and South Pembrokeshire,Conservative,M
167,3945,Sajid Javid,"Javid, Sajid",Rt Hon Sajid Javid MP,Sajid Javid,Bromsgrove,Conservative,M
168,3948,Rebecca Harris,"Harris, Rebecca",Rebecca Harris MP,Rebecca Harris,Castle Point,Conservative,F
169,3950,Tracey Crouch,"Crouch, Tracey",Tracey Crouch MP,Tracey Crouch,Chatham and Aylesford,Conservative,F
170,3952,Mr Toby Perkins,"Perkins, Mr Toby",Mr Toby Perkins MP,,Chesterfield,Labour,M
171,3953,Jason McCartney,"McCartney, Jason",Jason McCartney MP,,Colne Valley,Conservative,M
172,3957,Martin Vickers,"Vickers, Martin",Martin Vickers MP,Martin Vickers,Cleethorpes,Conservative,M
173,3958,Fiona Bruce,"Bruce, Fiona",Fiona Bruce MP,Fiona Bruce,Congleton,Conservative,F
174,3960,Henry Smith,"Smith, Henry",Henry Smith MP,Henry Smith,Crawley,Conservative,M
175,3966,Ian Murray,"Murray, Ian",Ian Murray MP,Ian Murray,Edinburgh South,Labour,M
176,3969,Damian Hinds,"Hinds, Damian",Rt Hon Damian Hinds MP,,East Hampshire,Conservative,M
177,3970,Gareth Johnson,"Johnson, Gareth",Gareth Johnson MP,Gareth Johnson,Dartford,Conservative,M
178,3973,Grahame Morris,"Morris, Grahame",Grahame Morris MP,Grahame Morris,Easington,Labour,M
179,3977,Chris Heaton-Harris,"Heaton-Harris, Chris",Rt Hon Chris Heaton-Harris MP,Chris Heaton-Harris,Daventry,Conservative,M
180,3985,Robert Halfon,"Halfon, Robert",Rt Hon Robert Halfon MP,,Harlow,Conservative,M
181,3986,Damian Collins,"Collins, Damian",Damian Collins MP,Damian Collins,Folkestone and Hythe,Conservative,M
182,3987,Rehman Chishti,"Chishti, Rehman",Rehman Chishti MP,Rehman Chishti,Gillingham and Rainham,Conservative,M
183,3989,Jack Lopresti,"Lopresti, Jack",Jack Lopresti MP,Jack Lopresti,Filton and Bradley Stoke,Conservative,M
184,3990,Richard Graham,"Graham, Richard",Richard Graham MP,Richard Graham,Gloucester,Conservative,M
185,3991,Jesse Norman,"Norman, Jesse",Rt Hon Jesse Norman MP,Jesse Norman,Hereford and South Herefordshire,Conservative,M
186,3992,James Morris,"Morris, James",James Morris MP,James Morris,Halesowen and Rowley Regis,Conservative,M
187,3996,Andrew Jones,"Jones, Andrew",Andrew Jones MP,Andrew Jones,Harrogate and Knaresborough,Conservative,M
188,3997,Alec Shelbrooke,"Shelbrooke, Alec",Rt Hon Alec Shelbrooke MP,,Elmet and Rothwell,Conservative,M
189,3998,Mark Menzies,"Menzies, Mark",Mark Menzies MP,Mark Menzies,Fylde,Conservative,M
190,4000,Ian Mearns,"Mearns, Ian",Ian Mearns MP,Ian Mearns,Gateshead,Labour,M
191,4004,Mike Freer,"Freer, Mike",Mike Freer MP,Mike Freer,Finchley and Golders Green,Conservative,M
192,4005,Bob Blackman,"Blackman, Bob",Bob Blackman MP,Bob Blackman,Harrow East,Conservative,M
193,4006,Dr Matthew Offord,"Offord, Dr Matthew",Dr Matthew Offord MP,Dr Offord,Hendon,Conservative,M
194,4007,Dominic Raab,"Raab, Dominic",Rt Hon Dominic Raab MP,Dominic Raab,Esher and Walton,Conservative,M
195,4008,Dame Caroline Dinenage,"Dinenage, Dame Caroline",Dame Caroline Dinenage MP,Dame Caroline,Gosport,Conservative,F
196,4009,Sir Brandon Lewis,"Lewis, Sir Brandon",Rt Hon Sir Brandon Lewis MP,Sir Brandon Lewis,Great Yarmouth,Conservative,M
197,4014,Sir Alok Sharma,"Sharma, Sir Alok",Rt Hon Sir Alok Sharma MP,Alok Sharma,Reading West,Conservative,M
198,4015,Iain Stewart,"Stewart, Iain",Iain Stewart MP,Iain Stewart,Milton Keynes South,Conservative,M
199,4017,Penny Mordaunt,"Mordaunt, Penny",Rt Hon Penny Mordaunt MP,Penny Mordaunt,Portsmouth North,Conservative,F
200,4018,Mrs Helen Grant,"Grant, Mrs Helen",Mrs Helen Grant MP,Mrs Grant,Maidstone and The Weald,Conservative,F
201,4020,George Freeman,"Freeman, George",George Freeman MP,George Freeman,Mid Norfolk,Conservative,M
202,4021,Chris Skidmore,"Skidmore, Chris",Rt Hon Chris Skidmore MP,,Kingswood,Conservative,M
203,4024,Mr Marcus Jones,"Jones, Mr Marcus",Rt Hon Marcus Jones MP,Mr Jones,Nuneaton,Conservative,M
204,4025,Mrs Pauline Latham,"Latham, Mrs Pauline",Mrs Pauline Latham MP,Mrs Pauline Latham,Mid Derbyshire,Conservative,F
205,4026,Liz Kendall,"Kendall, Liz",Liz Kendall MP,Liz Kendall,Leicester West,Labour,F
206,4028,Karl McCartney,"McCartney, Karl",Karl McCartney MP,,Lincoln,Conservative,M
207,4029,Lilian Greenwood,"Greenwood, Lilian",Lilian Greenwood MP,Lilian Greenwood,Nottingham South,Labour,F
208,4030,Karl Turner,"Turner, Karl",Karl Turner MP,Karl Turner,Kingston upon Hull East,Labour,M
209,4031,Rachel Reeves,"Reeves, Rachel",Rt Hon Rachel Reeves MP,Rachel Reeves,Leeds West,Labour,F
210,4032,Stuart Andrew,"Andrew, Stuart",Rt Hon Stuart Andrew MP,Stuart Andrew,Pudsey,Conservative,M
211,4033,David Rutley,"Rutley, David",David Rutley MP,David Rutley,Macclesfield,Conservative,M
212,4034,Yvonne Fovargue,"Fovargue, Yvonne",Yvonne Fovargue MP,Yvonne Fovargue,Makerfield,Labour,F
213,4040,Chris Evans,"Evans, Chris",Chris Evans MP,Chris Evans,Islwyn,Labour (Co-op),M
214,4044,Andrew Stephenson,"Stephenson, Andrew",Rt Hon Andrew Stephenson MP,Andrew Stephenson,Pendle,Conservative,M
215,4046,Bridget Phillipson,"Phillipson, Bridget",Bridget Phillipson MP,Bridget Phillipson,Houghton and Sunderland South,Labour,F
216,4048,Caroline Nokes,"Nokes, Caroline",Rt Hon Caroline Nokes MP,Caroline Nokes,Romsey and Southampton North,Conservative,F
217,4050,Gordon Henderson,"Henderson, Gordon",Gordon Henderson MP,Gordon Henderson,Sittingbourne and Sheppey,Conservative,M
218,4051,John Glen,"Glen, John",Rt Hon John Glen MP,John Glen,Salisbury,Conservative,M
219,4052,Mark Pawsey,"Pawsey, Mark",Mark Pawsey MP,Mark Pawsey,Rugby,Conservative,M
220,4053,Mrs Heather Wheeler,"Wheeler, Mrs Heather",Mrs Heather Wheeler MP,Mrs Wheeler,South Derbyshire,Conservative,F
221,4055,Mark Spencer,"Spencer, Mark",Rt Hon Mark Spencer MP,,Sherwood,Conservative,M
